"ՀԱՄԱՅՆՔ,ՄԱՐԶ","(17, 19]","(19, 29]","(29, 39]","(39, 49]","(49, 59]","(59, 69]","(69, 79]","(79, 120]",ՀԱՄԱՅՆՔ,ՄԱՐԶ,lat,lon
"ԱԲՈՎՅԱՆ, ԱՐԱՐԱՏ",13.0,229.0,287.0,191.0,220.0,210.0,36.0,38.0,Աբովյան,Արարատ,40.0510237,44.5473952
"ԱԲՈՎՅԱՆ, ԿՈՏԱՅՔ",576.0,6242.0,10886.0,8433.0,6721.0,7655.0,2962.0,1512.0,Աբովյան,Կոտայք,40.2736902,44.6081077
"ԱԳԱՐԱԿ(ԱՇՏԱՐԱԿ), ԱՐԱԳԱԾՈՏՆ",11.0,252.0,349.0,225.0,274.0,213.0,53.0,47.0,Ագարակ (Աշտարակ),Արագածոտն,40.3014822,44.2801594
"ԱԳԱՐԱԿԱՎԱՆ, ԱՐԱԳԱԾՈՏՆ",10.0,175.0,172.0,136.0,144.0,103.0,30.0,31.0,Ագարակավան,Արագածոտն,40.3328557,44.0706326
"ԱԶԱՏԱՄՈՒՏ, ՏԱՎՈՒՇ",31.0,267.0,612.0,583.0,172.0,530.0,116.0,33.0,Ազատամուտ,Տավուշ,40.9882155,45.2072695
"ԱԶԱՏԱՆ, ՇԻՐԱԿ",43.0,761.0,919.0,662.0,724.0,522.0,162.0,144.0,Ազատան,Շիրակ,40.7222384,43.8325921
"ԱԶԱՏԱՇԵՆ, ԱՐԱՐԱՏ",4.0,111.0,128.0,119.0,122.0,90.0,22.0,21.0,Ազատաշեն,Արարատ,40.1362467,44.4161917
"ԱԶԱՏԱՎԱՆ, ԱՐԱՐԱՏ",21.0,467.0,543.0,414.0,455.0,414.0,148.0,129.0,Ազատավան,Արարատ,39.9855753,44.5064986
"ԱԶՆՎԱՁՈՐ, ԼՈՌԻ",7.0,69.0,87.0,65.0,70.0,58.0,22.0,24.0,Ազնվաձոր,Լոռի,40.8762028,44.4274872
"ԱԼԱԳՅԱԶ, ԱՐԱԳԱԾՈՏՆ",54.0,590.0,786.0,799.0,688.0,421.0,149.0,64.0,Ալագյազ,Արագածոտն,40.680249,44.2875444
"ԱԼԱՇԿԵՐՏ, ԱՐՄԱՎԻՐ",11.0,266.0,367.0,257.0,241.0,231.0,57.0,46.0,Ալաշկերտ,Արմավիր,40.106025,44.0519756
"ԱԼԱՎԵՐԴԻ, ԼՈՌԻ",242.0,2685.0,4192.0,3308.0,3380.0,3366.0,1189.0,880.0,Ալավերդի,Լոռի,41.0911538,44.6590356
"ԱԽԹԱԼԱ, ԼՈՌԻ",61.0,746.0,1204.0,847.0,994.0,806.0,293.0,336.0,Ախթալա,Լոռի,41.149463,44.7635042
"ԱԽՈՒՐԻԿ, ՇԻՐԱԿ",11.0,158.0,196.0,126.0,183.0,109.0,37.0,36.0,Ախուրիկ,Շիրակ,40.7397094,43.7740026
"ԱԽՈՒՐՅԱՆ, ՇԻՐԱԿ",155.0,2228.0,3239.0,2280.0,2286.0,2081.0,629.0,414.0,Ախուրյան,Շիրակ,40.7806495,43.8997986
"ԱԽՊՐԱՁՈՐ, ԳԵՂԱՐՔՈՒՆԻՔ",3.0,59.0,56.0,41.0,50.0,26.0,1.0,9.0,Ախպրաձոր,Գեղարքունիք,40.0960447,45.6405596
"ԱԿՆԱԼԻՃ, ԱՐՄԱՎԻՐ",33.0,506.0,538.0,403.0,490.0,221.0,91.0,102.0,Ակնալիճ,Արմավիր,40.1405463,44.1607005
"ԱԿՆԱՂԲՅՈՒՐ, ՏԱՎՈՒՇ",7.0,72.0,65.0,72.0,69.0,41.0,21.0,38.0,Ակնաղբյուր,Տավուշ,40.9620148,45.1593431
"ԱԿՆԱՇԵՆ, ԱՐՄԱՎԻՐ",18.0,214.0,310.0,227.0,243.0,211.0,54.0,38.0,Ակնաշեն,Արմավիր,40.092946,44.2917904
"ԱԿՈՒՆՔ, ԱՐԱԳԱԾՈՏՆ",3.0,71.0,146.0,84.0,99.0,70.0,28.0,16.0,Ակունք,Արագածոտն,40.4253474,43.8999295
"ԱԿՈՒՆՔ, ԳԵՂԱՐՔՈՒՆԻՔ",50.0,646.0,748.0,515.0,558.0,356.0,92.0,125.0,Ակունք,Գեղարքունիք,40.1600142,45.7056783
"ԱԿՈՒՆՔ, ԿՈՏԱՅՔ",98.0,1241.0,1753.0,1149.0,1331.0,1058.0,239.0,252.0,Ակունք,Կոտայք,40.2676183,44.6810797
"ԱՂԱՎՆԱՏՈՒՆ, ԱՐՄԱՎԻՐ",27.0,497.0,641.0,383.0,489.0,374.0,104.0,110.0,Աղավնատուն,Արմավիր,40.2314017,44.2477669
"ԱՂՁՔ, ԱՐԱԳԱԾՈՏՆ",23.0,258.0,303.0,243.0,276.0,208.0,62.0,62.0,Աղձք,Արագածոտն,40.311385,44.2516304
"ԱՃԱՐԿՈՒՏ, ՏԱՎՈՒՇ",1.0,31.0,35.0,19.0,21.0,12.0,4.0,11.0,Աճարկուտ,Տավուշ,41.0358191,45.0851258
"ԱՄԱՍԻԱ, ԱՐՄԱՎԻՐ",13.0,145.0,184.0,125.0,152.0,95.0,32.0,22.0,Ամասիա,Արմավիր,40.0828813,43.9594531
"ԱՄԱՍԻԱ, ՇԻՐԱԿ",57.0,719.0,1056.0,626.0,889.0,607.0,175.0,133.0,Ամասիա,Շիրակ,40.9623166,43.7703252
"ԱՄԲԵՐԴ, ԱՐՄԱՎԻՐ",16.0,217.0,278.0,182.0,218.0,183.0,30.0,41.0,Ամբերդ,Արմավիր,40.2419094,44.2710995
"ԱՅԳԱՎԱՆ, ԱՐԱՐԱՏ",27.0,628.0,819.0,530.0,599.0,481.0,127.0,90.0,Այգավան,Արարատ,39.8752693,44.6683679
"ԱՅԳԵԶԱՐԴ, ԱՐԱՐԱՏ",41.0,480.0,712.0,456.0,457.0,485.0,114.0,117.0,Այգեզարդ,Արարատ,39.9592176,44.600243
"ԱՅԳԵԿ, ԱՐՄԱՎԻՐ",16.0,186.0,275.0,218.0,180.0,218.0,48.0,40.0,Այգեկ,Արմավիր,40.1912987,44.384146
"ԱՅԳԵՀՈՎԻՏ, ՏԱՎՈՒՇ",40.0,509.0,563.0,480.0,455.0,383.0,139.0,126.0,Այգեհովիտ,Տավուշ,41.0061962,45.2265072
"ԱՅԳԵՇԱՏ(ԱՐՄԱՎԻՐ), ԱՐՄԱՎԻՐ",13.0,236.0,318.0,257.0,265.0,227.0,59.0,52.0,Այգեշատ (Արմավիր),Արմավիր,40.0743437,44.0489315
"ԱՅԳԵՇԱՏ(ՎԱՂԱՐՇԱՊԱՏ), ԱՐՄԱՎԻՐ",10.0,204.0,310.0,176.0,251.0,185.0,43.0,56.0,Այգեշատ (Արմավիր),Արմավիր,40.0743437,44.0489315
"ԱՅԳԵՊԱՏ, ԱՐԱՐԱՏ",14.0,218.0,260.0,171.0,216.0,188.0,39.0,54.0,Այգեպատ,Արարատ,39.9566253,44.5924796
"ԱՅԳԵՍՏԱՆ, ԱՐԱՐԱՏ",29.0,321.0,579.0,369.0,371.0,384.0,103.0,103.0,Այգեստան,Արարատ,39.9999288,44.5583013
"ԱՅԳԵՎԱՆ, ԱՐՄԱՎԻՐ",16.0,260.0,265.0,205.0,266.0,201.0,47.0,59.0,Այգեվան,Արմավիր,40.1396135,43.9704234
"ԱՅՆԹԱՊ, ԱՐԱՐԱՏ",80.0,1305.0,1687.0,1261.0,1306.0,1096.0,362.0,260.0,Այնթապ,Արարատ,40.0944769,44.4598548
"ԱՅՐՈՒՄ, ՏԱՎՈՒՇ",92.0,1343.0,1982.0,1445.0,1443.0,1256.0,435.0,405.0,Այրում,Տավուշ,41.190269,44.9038963
"ԱՆԻ, ՇԻՐԱԿ",183.0,3236.0,4191.0,2871.0,3066.0,2493.0,685.0,546.0,Անի,Շիրակ,40.592612,43.7043674
"ԱՆՈՒՇԱՎԱՆ, ՇԻՐԱԿ",23.0,285.0,377.0,267.0,285.0,209.0,57.0,58.0,Անուշավան,Շիրակ,40.6536209,43.9768074
"ԱՆՏԱՌԱՄՈՒՏ, ԼՈՌԻ",2.0,37.0,51.0,34.0,39.0,57.0,11.0,18.0,Անտառամուտ,Լոռի,40.933443,44.5620927
"ԱՆՏԱՌԱՇԵՆ, ԼՈՌԻ",4.0,22.0,41.0,32.0,26.0,33.0,7.0,2.0,Անտառաշեն,Լոռի,40.748963,44.6194262
"ԱՆՏԱՌՈՒՏ, ԱՐԱԳԱԾՈՏՆ",1.0,41.0,39.0,48.0,36.0,46.0,12.0,10.0,Անտառուտ,Արագածոտն,40.3528281,44.2640202
"ԱՇՆԱԿ, ԱՐԱԳԱԾՈՏՆ",13.0,196.0,233.0,159.0,199.0,153.0,47.0,35.0,Աշնակ,Արագածոտն,40.3311053,43.9214606
"ԱՇՈՑՔ, ՇԻՐԱԿ",67.0,982.0,1444.0,976.0,1081.0,778.0,231.0,172.0,Աշոցք,Շիրակ,41.0374948,43.8614313
"ԱՇՏԱՐԱԿ, ԱՐԱԳԱԾՈՏՆ",227.0,2929.0,4419.0,3497.0,3291.0,3074.0,1204.0,807.0,Աշտարակ,Արագածոտն,40.2928735,44.3505077
"ԱՉԱՋՈՒՐ, ՏԱՎՈՒՇ",42.0,590.0,778.0,581.0,574.0,465.0,160.0,184.0,Աչաջուր,Տավուշ,40.9870217,45.1488049
"ԱՊԱԳԱ, ԱՐՄԱՎԻՐ",11.0,266.0,392.0,243.0,261.0,225.0,66.0,44.0,Ապագա,Արմավիր,40.0926142,44.2527413
"ԱՊԱՐԱՆ, ԱՐԱԳԱԾՈՏՆ",195.0,3166.0,4381.0,3088.0,3215.0,2567.0,715.0,677.0,Ապարան,Արագածոտն,40.5922068,44.3574379
"ԱՋԱՓՆՅԱԿ, ԵՐԵՎԱՆ",1045.0,12541.0,19409.0,15187.0,13823.0,14496.0,6210.0,3658.0,Աջափնյակ,Երեվան,40.2003857,44.4708963
"ԱՌԱՏԱՇԵՆ, ԱՐՄԱՎԻՐ",44.0,419.0,516.0,372.0,399.0,305.0,88.0,67.0,Առատաշեն,Արմավիր,40.130862,44.2234262
"ԱՌԱՓԻ, ՇԻՐԱԿ",27.0,236.0,247.0,249.0,222.0,187.0,99.0,57.0,Առափի,Շիրակ,40.7832947,43.8045228
"ԱՌԻՆՋ, ԿՈՏԱՅՔ",52.0,815.0,1089.0,849.0,880.0,832.0,263.0,217.0,Առինջ,Կոտայք,40.2336869,44.5820672
"ԱՍՏՂԱՁՈՐ, ԳԵՂԱՐՔՈՒՆԻՔ",58.0,619.0,758.0,472.0,562.0,381.0,103.0,103.0,Աստղաձոր,Գեղարքունիք,40.1259452,45.3543738
"ԱՎԱՆ, ԱՐԱԳԱԾՈՏՆ",6.0,147.0,154.0,102.0,124.0,92.0,32.0,20.0,Ավան,Արագածոտն,40.3344068,44.1490208
"ԱՎԱՆ, ԵՐԵՎԱՆ",545.0,5502.0,8843.0,8697.0,5295.0,6765.0,3323.0,1447.0,Ավան,Երեվան,40.3351948,44.1685681
"ԱՎՇԱՐ, ԱՐԱՐԱՏ",36.0,545.0,869.0,557.0,706.0,509.0,145.0,156.0,Ավշար,Արարատ,39.8549188,44.6788801
"ԱՐԱԲԿԻՐ, ԵՐԵՎԱՆ",1049.0,13003.0,18560.0,17078.0,15695.0,16050.0,9036.0,6051.0,Արաբկիր,Երեվան,40.2055633,44.508221
"ԱՐԱԳԱԾ, ԱՐՄԱՎԻՐ",22.0,361.0,537.0,323.0,460.0,344.0,79.0,87.0,Արագած,Արմավիր,40.2183145,44.2257428
"ԱՐԱԳԱԾԱՎԱՆ, ԱՐԱԳԱԾՈՏՆ",102.0,1364.0,1909.0,1357.0,1503.0,1066.0,338.0,283.0,Արագածավան,Արագածոտն,40.3196601,43.6600475
"ԱՐԱԳԱԾՈՏՆ, ԱՐԱԳԱԾՈՏՆ",11.0,127.0,193.0,166.0,124.0,111.0,45.0,21.0,Արագածոտն,Արագածոտն,40.3347301,44.3748296
"ԱՐԱԶԱՓ, ԱՐՄԱՎԻՐ",20.0,235.0,248.0,226.0,174.0,141.0,55.0,38.0,Արազափ,Արմավիր,40.0428574,44.1417581
"ԱՐԱԼԵԶ, ԱՐԱՐԱՏ",17.0,380.0,429.0,342.0,357.0,237.0,87.0,83.0,Արալեզ,Արարատ,39.900691,44.6474372
"ԱՐԱՄՈՒՍ, ԿՈՏԱՅՔ",43.0,516.0,752.0,487.0,540.0,443.0,88.0,93.0,Արամուս,Կոտայք,40.2469366,44.6655525
"ԱՐԱՐԱՏ, ԱՐԱՐԱՏ",161.0,2106.0,3334.0,2553.0,2117.0,2119.0,685.0,394.0,Արարատ,Արարատ,39.8320874,44.70493
"ԱՐԱՔՍ(ԱՐՄԱՎԻՐ), ԱՐՄԱՎԻՐ",14.0,232.0,270.0,238.0,230.0,193.0,58.0,66.0,Արաքս (Արմավիր),Արմավիր,40.095866,43.9418578
"ԱՐԱՔՍ(ՎԱՂԱՐՇԱՊԱՏ), ԱՐՄԱՎԻՐ",13.0,240.0,329.0,210.0,272.0,176.0,46.0,61.0,Արաքս (Արմավիր),Արմավիր,40.095866,43.9418578
"ԱՐԱՔՍԱՎԱՆ, ԱՐԱՐԱՏ",9.0,137.0,159.0,109.0,120.0,89.0,18.0,21.0,Արաքսավան,Արարատ,39.9994117,44.4673707
"ԱՐԲԱԹ, ԱՐԱՐԱՏ",27.0,309.0,403.0,236.0,307.0,218.0,48.0,61.0,Արբաթ,Արարատ,40.1374412,44.4031441
"ԱՐԳԱՎԱՆԴ, ԱՐԱՐԱՏ",18.0,264.0,338.0,251.0,263.0,252.0,88.0,61.0,Արգավանդ,Արարատ,40.154199,44.4345046
"ԱՐԳԱՎԱՆԴ, ԱՐՄԱՎԻՐ",28.0,334.0,477.0,302.0,360.0,251.0,59.0,51.0,Արգավանդ,Արմավիր,40.0616413,44.0843152
"ԱՐԳԵԼ, ԿՈՏԱՅՔ",29.0,358.0,615.0,419.0,423.0,426.0,81.0,67.0,Արգել,Կոտայք,40.3705555,44.5964855
"ԱՐԳԻՆԱ, ԱՐՄԱՎԻՐ",3.0,96.0,143.0,36.0,96.0,75.0,4.0,4.0,Արգինա,Արմավիր,40.2731195,43.739889
"ԱՐԵՆԻ, ՎԱՅՈՑ ՁՈՐ",90.0,1573.0,2048.0,1321.0,1651.0,1318.0,323.0,447.0,Արենի,Վայոց Ձոր,39.684311,45.212415
"ԱՐԵՎԱԲՈՒՅՐ, ԱՐԱՐԱՏ",14.0,176.0,250.0,144.0,176.0,122.0,43.0,31.0,Արեվաբույր,Արարատ,40.036548,44.469521
"ԱՐԵՎԱԴԱՇՏ, ԱՐՄԱՎԻՐ",6.0,57.0,100.0,59.0,48.0,52.0,9.0,3.0,Արեվադաշտ,Արմավիր,40.1328543,43.9315246
"ԱՐԵՎԱՇԱՏ, ԱՐՄԱՎԻՐ",19.0,208.0,315.0,236.0,256.0,223.0,69.0,43.0,Արեվաշատ,Արմավիր,40.1398055,44.3744412
"ԱՐԵՎԱՇՈՂ, ԼՈՌԻ",27.0,400.0,553.0,356.0,376.0,296.0,93.0,68.0,Արեվաշող,Լոռի,40.852747,44.2741475
"ԱՐԵՎԻԿ, ԱՐՄԱՎԻՐ",22.0,414.0,489.0,377.0,387.0,275.0,71.0,62.0,Արեվիկ,Արմավիր,40.1007248,44.0874159
"ԱՐԵՎՇԱՏ, ԱՐԱՐԱՏ",30.0,303.0,449.0,319.0,305.0,326.0,80.0,74.0,Արեվշատ,Արարատ,40.0404423,44.5397899
"ԱՐԵՎՇԱՏ, ՇԻՐԱԿ",19.0,300.0,350.0,214.0,282.0,162.0,44.0,33.0,Արեվշատ,Շիրակ,40.653807,44.0417111
"ԱՐԵՎՈՒՏ, ԱՐԱԳԱԾՈՏՆ",5.0,23.0,42.0,36.0,32.0,16.0,10.0,7.0,Արեվուտ,Արագածոտն,40.3628467,43.8039172
"ԱՐԶՆԻ, ԿՈՏԱՅՔ",43.0,369.0,486.0,401.0,318.0,345.0,132.0,135.0,Արզնի,Կոտայք,40.2982207,44.5971488
"ԱՐԹԻԿ, ՇԻՐԱԿ",183.0,2513.0,3865.0,2614.0,2436.0,2558.0,802.0,486.0,Արթիկ,Շիրակ,40.619903,43.9708162
"ԱՐԾՎԱՆԻՍՏ, ԳԵՂԱՐՔՈՒՆԻՔ",43.0,518.0,515.0,357.0,432.0,244.0,83.0,78.0,Արծվանիստ,Գեղարքունիք,40.145705,45.5109432
"ԱՐՄԱՇ, ԱՐԱՐԱՏ",22.0,364.0,500.0,294.0,376.0,279.0,91.0,80.0,Արմաշ,Արարատ,39.76624,44.8087498
"ԱՐՄԱՎԻՐ, ԱՐՄԱՎԻՐ",420.0,4531.0,6559.0,5397.0,4686.0,4766.0,1739.0,1115.0,Արմավիր,Արմավիր,40.08433,44.05456
"ԱՐՇԱԼՈՒՅՍ, ԱՐՄԱՎԻՐ",52.0,606.0,703.0,531.0,626.0,429.0,126.0,99.0,Արշալույս,Արմավիր,40.1667409,44.2123603
"ԱՐՈՒՃ, ԱՐԱԳԱԾՈՏՆ",10.0,170.0,193.0,158.0,181.0,78.0,35.0,46.0,Արուճ,Արագածոտն,40.2864761,44.0794576
"ԱՐՋՈՒՏ, ԼՈՌԻ",11.0,112.0,143.0,119.0,134.0,143.0,48.0,38.0,Արջուտ,Լոռի,40.8588244,44.3800237
"ԱՐՏԱՄԵՏ, ԱՐՄԱՎԻՐ",3.0,33.0,44.0,31.0,41.0,26.0,4.0,3.0,Արտամետ,Արմավիր,40.1229256,43.8588175
"ԱՐՏԱՇԱՎԱՆ, ԱՐԱԳԱԾՈՏՆ",5.0,113.0,115.0,83.0,104.0,61.0,19.0,36.0,Արտաշավան,Արագածոտն,40.3860848,44.3814118
"ԱՐՏԱՇԱՏ, ԱՐԱՐԱՏ",234.0,3213.0,5461.0,3743.0,3296.0,3879.0,1080.0,829.0,Արտաշատ,Արարատ,39.9535181,44.5519782
"ԱՐՏԱՇԱՐ, ԱՐՄԱՎԻՐ",18.0,213.0,196.0,143.0,171.0,102.0,21.0,17.0,Արտաշար,Արմավիր,40.1099342,44.1821217
"ԱՐՏԻՄԵՏ, ԱՐՄԱՎԻՐ",18.0,279.0,336.0,233.0,303.0,227.0,56.0,60.0,Արտիմետ,Արմավիր,40.1518048,44.2673774
"ԱՐՓԻ, ՇԻՐԱԿ",25.0,290.0,409.0,246.0,295.0,175.0,44.0,26.0,Արփի,Շիրակ,39.7389601,45.2669547
"ԲԱԳԱՐԱՆ, ԱՐՄԱՎԻՐ",3.0,117.0,118.0,85.0,99.0,74.0,15.0,16.0,Բագարան,Արմավիր,40.14317,43.6602026
"ԲԱԶՄԱՂԲՅՈՒՐ, ԱՐԱԳԱԾՈՏՆ",8.0,156.0,172.0,123.0,177.0,85.0,31.0,45.0,Բազմաղբյուր,Արագածոտն,40.3287376,44.319394
"ԲԱԶՈՒՄ, ԼՈՌԻ",17.0,238.0,314.0,249.0,236.0,185.0,60.0,34.0,Բազում,Լոռի,40.8658172,44.4435216
"ԲԱԼԱՀՈՎԻՏ, ԿՈՏԱՅՔ",43.0,474.0,662.0,445.0,516.0,425.0,168.0,101.0,Բալահովիտ,Կոտայք,40.2544003,44.6027766
"ԲԱՂՐԱՄՅԱՆ, ԱՐԱՐԱՏ",16.0,249.0,301.0,241.0,258.0,239.0,57.0,62.0,Բաղրամյան,Արարատ,40.2731195,43.739889
"ԲԱՂՐԱՄՅԱՆ, ԱՐՄԱՎԻՐ",5.0,133.0,233.0,99.0,147.0,116.0,22.0,22.0,Բաղրամյան,Արմավիր,40.1936124,43.8554399
"ԲԱՄԲԱԿԱՇԱՏ, ԱՐՄԱՎԻՐ",37.0,425.0,646.0,480.0,476.0,455.0,110.0,85.0,Բամբակաշատ,Արմավիր,40.1082397,44.0206741
"ԲԱՅԱՆԴՈՒՐ, ՇԻՐԱԿ",5.0,93.0,123.0,83.0,92.0,88.0,27.0,25.0,Բայանդուր,Շիրակ,40.6952453,43.769963
"ԲԱՐՁՐԱՇԵՆ, ԱՐԱՐԱՏ",15.0,200.0,277.0,244.0,174.0,213.0,57.0,37.0,Բարձրաշեն,Արարատ,40.0872927,44.5754005
"ԲԵՆԻԱՄԻՆ, ՇԻՐԱԿ",7.0,129.0,118.0,70.0,114.0,67.0,17.0,24.0,Բենիամին,Շիրակ,40.68852,43.8493211
"ԲԵՐԴ, ՏԱՎՈՒՇ",332.0,4238.0,5386.0,4256.0,4129.0,3488.0,1448.0,1751.0,Բերդ,Տավուշ,40.8837788,45.3923464
"ԲԵՐԴԻԿ, ԱՐԱՐԱՏ",10.0,153.0,145.0,124.0,137.0,117.0,35.0,27.0,Բերդիկ,Արարատ,39.9923195,44.5713665
"ԲԵՐԴԿՈՒՆՔ, ԳԵՂԱՐՔՈՒՆԻՔ",7.0,32.0,46.0,42.0,24.0,36.0,8.0,10.0,Բերդկունք,Գեղարքունիք,40.4439361,45.0997353
"ԲԵՐՔԱԲԵՐ, ՏԱՎՈՒՇ",6.0,79.0,98.0,83.0,70.0,63.0,21.0,34.0,Բերքաբեր,Տավուշ,41.0528661,45.1463667
"ԲԵՐՔԱՆՈՒՇ, ԱՐԱՐԱՏ",19.0,264.0,355.0,265.0,244.0,260.0,78.0,41.0,Բերքանուշ,Արարատ,39.9779916,44.522165
"ԲԵՐՔԱՇԱՏ, ԱՐՄԱՎԻՐ",7.0,95.0,105.0,68.0,88.0,52.0,15.0,11.0,Բերքաշատ,Արմավիր,40.0414734,43.9077382
"ԲՅՈՒՐԱԿԱՆ, ԱՐԱԳԱԾՈՏՆ",39.0,606.0,775.0,579.0,667.0,500.0,154.0,193.0,Բյուրական,Արագածոտն,40.3373909,44.272133
"ԲՅՈՒՐԱՎԱՆ, ԱՐԱՐԱՏ",15.0,172.0,273.0,184.0,182.0,188.0,42.0,37.0,Բյուրավան,Արարատ,40.0150745,44.5191627
"ԲՅՈՒՐԵՂԱՎԱՆ, ԿՈՏԱՅՔ",143.0,1263.0,2342.0,1625.0,1404.0,1527.0,440.0,290.0,Բյուրեղավան,Կոտայք,40.3137085,44.5970067
"ԲՈՒՐԱՍՏԱՆ, ԱՐԱՐԱՏ",23.0,313.0,446.0,268.0,314.0,307.0,79.0,60.0,Բուրաստան,Արարատ,39.9893515,44.4960658
"Գ.ԱՐԱՐԱՏ, ԱՐԱՐԱՏ",81.0,1101.0,1359.0,1002.0,1126.0,805.0,218.0,225.0,Արարատ,Արարատ,39.8320874,44.70493
"Գ.ԱՐՄԱՎԻՐ, ԱՐՄԱՎԻՐ",26.0,388.0,518.0,434.0,408.0,367.0,122.0,93.0,Արմավիր,Արմավիր,40.08433,44.05456
"Գ.ՄԱՍԻՍ, ԱՐԱՐԱՏ",14.0,203.0,318.0,224.0,248.0,165.0,70.0,63.0,Մասիս,Արարատ,39.9965321,44.4892913
"Գ.ՄԵԾԱՄՈՐ, ԱՐՄԱՎԻՐ",15.0,197.0,255.0,166.0,162.0,140.0,35.0,20.0,Մեծամոր,Արմավիր,40.071389,44.289167
"ԳԱՅ, ԱՐՄԱՎԻՐ",40.0,536.0,605.0,510.0,518.0,424.0,125.0,107.0,Գայ,Արմավիր,40.0853781,44.3075315
"ԳԱՆՁԱԿ, ԳԵՂԱՐՔՈՒՆԻՔ",29.0,532.0,758.0,653.0,568.0,497.0,191.0,125.0,Գանձակ,Գեղարքունիք,40.3249162,45.1099356
"ԳԱՆՁԱՔԱՐ, ՏԱՎՈՒՇ",46.0,520.0,551.0,542.0,426.0,358.0,150.0,138.0,Գանձաքար,Տավուշ,40.8373354,45.1588919
"ԳԱՌՆԱՀՈՎԻՏ, ԱՐԱԳԱԾՈՏՆ",4.0,58.0,58.0,44.0,73.0,32.0,9.0,20.0,Գառնահովիտ,Արագածոտն,40.4998493,43.954102
"ԳԱՌՆԻ, ԿՈՏԱՅՔ",92.0,1082.0,1499.0,962.0,1069.0,899.0,239.0,227.0,Գառնի,Կոտայք,40.1185127,44.7186328
