"ՀԱՄԱՅՆՔ,ՄԱՐԶ","(17, 19]","(19, 29]","(29, 39]","(39, 49]","(49, 59]","(59, 69]","(69, 79]","(79, 120]",ՀԱՄԱՅՆՔ,ՄԱՐԶ,lat,lon
"ԳԱՎԱՌ, ԳԵՂԱՐՔՈՒՆԻՔ",256.0,3408.0,5025.0,4372.0,4003.0,3598.0,1424.0,843.0,Գավառ,Գեղարքունիք,40.3513253,45.1272675
"ԳԵՂԱԴԻՐ, ԿՈՏԱՅՔ",4.0,98.0,137.0,84.0,128.0,68.0,16.0,28.0,Գեղադիր,Կոտայք,40.1568178,44.6558073
"ԳԵՂԱԿԵՐՏ, ԱՐՄԱՎԻՐ",27.0,353.0,528.0,299.0,444.0,323.0,84.0,86.0,Գեղակերտ,Արմավիր,40.1902151,44.2484712
"ԳԵՂԱՄԱՍԱՐ, ԳԵՂԱՐՔՈՒՆԻՔ",95.0,1157.0,1128.0,870.0,921.0,634.0,222.0,286.0,Գեղամասար,Գեղարքունիք,40.3093713,45.6803063
"ԳԵՂԱՄԱՎԱՆ, ԳԵՂԱՐՔՈՒՆԻՔ",19.0,223.0,314.0,233.0,259.0,185.0,47.0,50.0,Գեղամավան,Գեղարքունիք,40.56594,44.8947239
"ԳԵՂԱՆԻՍՏ, ԱՐԱՐԱՏ",34.0,386.0,527.0,424.0,410.0,388.0,115.0,80.0,Գեղանիստ,Արարատ,40.1475096,44.4050537
"ԳԵՂԱՆԻՍՏ, ՇԻՐԱԿ",13.0,155.0,225.0,138.0,177.0,122.0,34.0,32.0,Գեղանիստ,Շիրակ,40.6833388,44.020232
"ԳԵՂԱՇԵՆ, ԿՈՏԱՅՔ",30.0,635.0,788.0,503.0,586.0,431.0,103.0,99.0,Գեղաշեն,Կոտայք,40.2265321,44.723164
"ԳԵՂԱՍԱՐ, ԼՈՌԻ",4.0,156.0,113.0,89.0,129.0,66.0,29.0,37.0,Գեղասար,Լոռի,40.8466672,44.181545
"ԳԵՂԱՐԴ, ԿՈՏԱՅՔ",3.0,58.0,53.0,48.0,55.0,40.0,4.0,8.0,Գեղարդ,Կոտայք,40.154704,44.7992302
"ԳԵՂԱՐՔՈՒՆԻՔ, ԳԵՂԱՐՔՈՒՆԻՔ",18.0,259.0,332.0,235.0,243.0,208.0,51.0,55.0,Գեղարքունիք,Գեղարքունիք,40.2518621,45.1405799
"ԳԵՂԱՔԱՐ, ԳԵՂԱՐՔՈՒՆԻՔ",1.0,27.0,19.0,21.0,30.0,22.0,2.0,4.0,Գեղաքար,Գեղարքունիք,40.1162339,45.6851396
"ԳԵՂՀՈՎԻՏ, ԳԵՂԱՐՔՈՒՆԻՔ",67.0,958.0,1061.0,736.0,866.0,589.0,159.0,144.0,Գեղհովիտ,Գեղարքունիք,40.1005448,45.2812523
"ԳԵՏԱԶԱՏ, ԱՐԱՐԱՏ",16.0,314.0,406.0,279.0,277.0,294.0,52.0,56.0,Գետազատ,Արարատ,40.0383706,44.5657164
"ԳԵՏԱՀՈՎԻՏ, ՏԱՎՈՒՇ",23.0,300.0,396.0,310.0,305.0,257.0,87.0,80.0,Գետահովիտ,Տավուշ,40.8950649,45.1378873
"ԳԵՏԱՄԵՋ, ԿՈՏԱՅՔ",4.0,113.0,144.0,109.0,128.0,106.0,25.0,31.0,Գետամեջ,Կոտայք,40.2749267,44.5816751
"ԳԵՏԱՇԵՆ, ԱՐՄԱՎԻՐ",15.0,324.0,405.0,260.0,359.0,265.0,66.0,73.0,Գետաշեն,Արմավիր,40.0406492,43.9441648
"ԳԵՏԱՐԳԵԼ, ԿՈՏԱՅՔ",6.0,117.0,143.0,140.0,108.0,99.0,37.0,20.0,Գետարգել,Կոտայք,40.2440427,44.5924195
"ԳԵՏԱՓ, ՇԻՐԱԿ",6.0,136.0,150.0,94.0,140.0,90.0,25.0,22.0,Գետափ,Շիրակ,40.6569814,43.990202
"ԳԵՏԱՓՆՅԱ, ԱՐԱՐԱՏ",15.0,200.0,303.0,192.0,228.0,196.0,62.0,41.0,Գետափնյա,Արարատ,40.1376189,44.4292051
"ԳԵՏՔ, ՇԻՐԱԿ",7.0,85.0,105.0,70.0,94.0,56.0,17.0,22.0,Գետք,Շիրակ,40.728105,43.7848916
"ԳԻՆԵՎԵՏ, ԱՐԱՐԱՏ",7.0,97.0,124.0,81.0,103.0,75.0,21.0,14.0,Գինեվետ,Արարատ,39.9320059,44.622565
"ԳԼԱՁՈՐ, ՎԱՅՈՑ ՁՈՐ",50.0,754.0,1169.0,725.0,792.0,769.0,222.0,260.0,Գլաձոր,Վայոց Ձոր,39.7810056,45.3464337
"ԳՅՈՒԼԱԳԱՐԱԿ, ԼՈՌԻ",76.0,1149.0,1619.0,1090.0,1165.0,1041.0,304.0,300.0,Գյուլագարակ,Լոռի,40.9644892,44.474141
"ԳՅՈՒՄՐԻ, ՇԻՐԱԿ",1515.0,20027.0,26522.0,21436.0,20976.0,20188.0,8205.0,4910.0,Գյումրի,Շիրակ,40.7929026,43.8464971
"ԳՈԳԱՐԱՆ, ԼՈՌԻ",11.0,235.0,202.0,110.0,205.0,81.0,26.0,36.0,Գոգարան,Լոռի,40.8925096,44.1958845
"ԳՈՂԹ, ԿՈՏԱՅՔ",11.0,281.0,426.0,252.0,300.0,189.0,57.0,43.0,Գողթ,Կոտայք,40.1366726,44.7810683
"ԳՈՌԱՎԱՆ, ԱՐԱՐԱՏ",26.0,372.0,428.0,357.0,310.0,279.0,89.0,61.0,Գոռավան,Արարատ,39.9060954,44.7303597
"ԳՈՐԱՅՔ, ՍՅՈՒՆԻՔ",24.0,321.0,279.0,260.0,250.0,165.0,68.0,61.0,Գորայք,Սյունիք,39.681847,45.7609441
"ԳՈՐԻՍ, ՍՅՈՒՆԻՔ",319.0,3770.0,5066.0,4064.0,3576.0,3285.0,1367.0,892.0,Գորիս,Սյունիք,39.508988,46.343889
"ԳՈՒԳԱՐՔ, ԼՈՌԻ",58.0,669.0,955.0,850.0,727.0,792.0,306.0,137.0,Գուգարք,Լոռի,40.8021951,44.5395836
"ԳՐԻԲՈՅԵԴՈՎ, ԱՐՄԱՎԻՐ",22.0,303.0,335.0,260.0,297.0,212.0,64.0,58.0,Գրիբոյեդով,Արմավիր,40.1145846,44.2706023
"ԴԱԼԱՐ, ԱՐԱՐԱՏ",34.0,418.0,486.0,401.0,421.0,340.0,114.0,88.0,Դալար,Արարատ,39.9754634,44.5273861
"ԴԱԼԱՐԻԿ, ԱՐՄԱՎԻՐ",42.0,584.0,683.0,545.0,543.0,370.0,124.0,110.0,Դալարիկ,Արմավիր,40.2272711,43.8717749
"ԴԱՇՏ, ԱՐՄԱՎԻՐ",9.0,141.0,160.0,103.0,141.0,117.0,24.0,30.0,Դաշտ,Արմավիր,40.2254061,44.3000996
"ԴԱՇՏԱԴԵՄ, ԱՐԱԳԱԾՈՏՆ",3.0,105.0,75.0,84.0,95.0,52.0,25.0,18.0,Դաշտադեմ,Արագածոտն,40.3447608,43.8492142
"ԴԱՇՏԱՎԱՆ, ԱՐԱՐԱՏ",23.0,311.0,403.0,311.0,290.0,216.0,68.0,52.0,Դաշտավան,Արարատ,40.1014047,44.3906123
"ԴԱՇՏԱՔԱՐ, ԱՐԱՐԱՏ",5.0,107.0,93.0,79.0,81.0,57.0,16.0,12.0,Դաշտաքար,Արարատ,39.9240403,44.7561871
"ԴԱՎԹԱՇԵՆ, ԱՐԱԳԱԾՈՏՆ",8.0,100.0,138.0,81.0,114.0,104.0,21.0,22.0,Դավթաշեն,Արագածոտն,40.3586902,43.9574543
"ԴԱՎԹԱՇԵՆ, ԵՐԵՎԱՆ",356.0,4322.0,9245.0,5481.0,4657.0,6603.0,1832.0,887.0,Դավթաշեն,Երեվան,40.360296399999996,43.955878600000005
"ԴԱՐԱԿԵՐՏ, ԱՐԱՐԱՏ",33.0,370.0,429.0,382.0,370.0,332.0,113.0,82.0,Դարակերտ,Արարատ,40.1066831,44.4113751
"ԴԱՐԲՆԻԿ, ԱՐԱՐԱՏ",14.0,144.0,249.0,174.0,155.0,169.0,67.0,65.0,Դարբնիկ,Արարատ,40.1064437,44.37752
"ԴԱՐՊԱՍ, ԼՈՌԻ",18.0,232.0,334.0,272.0,260.0,244.0,81.0,68.0,Դարպաս,Լոռի,40.8381534,44.4226861
"ԴԴՄԱՇԵՆ, ԳԵՂԱՐՔՈՒՆԻՔ",21.0,362.0,428.0,285.0,396.0,254.0,73.0,85.0,Դդմաշեն,Գեղարքունիք,40.5684068,44.8157566
"ԴԴՄԱՍԱՐ, ԱՐԱԳԱԾՈՏՆ",0.0,17.0,27.0,23.0,33.0,16.0,8.0,4.0,Դդմասար,Արագածոտն,40.3414898,43.826948
"ԴԵԲԵԴ, ԼՈՌԻ",11.0,122.0,127.0,109.0,131.0,81.0,33.0,38.0,Դեբետ,Լոռի,40.9181083,44.6551019
"ԴԵՂՁՈՒՏ, ԱՐԱՐԱՏ",14.0,162.0,185.0,150.0,135.0,140.0,25.0,34.0,Դեղձուտ,Արարատ,40.0254847,44.5502453
"ԴԻԱՆ, ԱՐԱԳԱԾՈՏՆ",0.0,30.0,12.0,18.0,25.0,4.0,1.0,3.0,Դիան,Արագածոտն,40.3561677,44.0753782
"ԴԻԼԻՋԱՆ, ՏԱՎՈՒՇ",241.0,3139.0,4354.0,3921.0,3295.0,3251.0,1289.0,899.0,Դիլիջան,Տավուշ,40.7405524,44.8625965
"ԴԻՄԻՏՐՈՎ, ԱՐԱՐԱՏ",18.0,187.0,264.0,190.0,187.0,202.0,58.0,71.0,Դիմիտրով,Արարատ,40.0072152,44.4880651
"ԴԻՏԱԿ, ԱՐԱՐԱՏ",1.0,114.0,134.0,94.0,104.0,96.0,18.0,30.0,Դիտակ,Արարատ,40.0458059,44.5188265
"ԴԻՏԱՎԱՆ, ՏԱՎՈՒՇ",4.0,54.0,78.0,39.0,59.0,41.0,10.0,22.0,Դիտավան,Տավուշ,40.9750615,45.2072075
"ԴՈՂՍ, ԱՐՄԱՎԻՐ",16.0,200.0,263.0,193.0,218.0,160.0,40.0,29.0,Դողս,Արմավիր,40.2213038,44.271441
"ԴՊՐԵՎԱՆՔ, ԱՐԱԳԱԾՈՏՆ",1.0,7.0,12.0,8.0,7.0,8.0,5.0,11.0,Դպրեվանք,Արագածոտն,40.2944109,44.0976003
"ԴՍԵՂ, ԼՈՌԻ",27.0,304.0,334.0,263.0,328.0,283.0,80.0,117.0,Դսեղ,Լոռի,40.9601296,44.6494609
"ԴՎԻՆ, ԱՐԱՐԱՏ",24.0,388.0,619.0,368.0,432.0,390.0,97.0,88.0,Դվին,Արարատ,40.0179745,44.5841127
"ԵՂԵԳԻՍ, ՎԱՅՈՑ ՁՈՐ",56.0,949.0,1119.0,683.0,984.0,675.0,169.0,302.0,Եղեգիս,Վայոց Ձոր,39.8726158,45.3575191
"ԵՂԵԳՆԱՁՈՐ, ՎԱՅՈՑ ՁՈՐ",90.0,1123.0,1756.0,1368.0,1097.0,1372.0,421.0,290.0,Եղեգնաձոր,Վայոց Ձոր,39.7632738,45.3307882
"ԵՂԵԳՆԱՎԱՆ, ԱՐԱՐԱՏ",12.0,191.0,238.0,167.0,171.0,154.0,56.0,93.0,Եղեգնավան,Արարատ,39.8368552,44.6220629
"ԵՂԵԳՆՈՒՏ, ԱՐՄԱՎԻՐ",25.0,294.0,406.0,231.0,261.0,247.0,42.0,34.0,Եղեգնուտ,Արմավիր,40.0876423,44.1528189
"ԵՂԵԳՆՈՒՏ, ԼՈՌԻ",4.0,128.0,109.0,96.0,134.0,94.0,26.0,57.0,Եղեգնուտ,Լոռի,40.9023874,44.6295441
"ԵՂՆԻԿ, ԱՐԱԳԱԾՈՏՆ",2.0,60.0,65.0,52.0,77.0,47.0,6.0,13.0,Եղնիկ,Արագածոտն,40.4076441,43.9405595
"ԵՂՎԱՐԴ, ԿՈՏԱՅՔ",268.0,3263.0,4728.0,3483.0,3217.0,3006.0,976.0,661.0,Եղվարդ,Կոտայք,40.321114,44.4728172
"ԵՆՈՔԱՎԱՆ, ՏԱՎՈՒՇ",4.0,77.0,84.0,66.0,94.0,52.0,12.0,35.0,Ենոքավան,Տավուշ,40.9134832,45.1087644
"ԵՐԱԶԳԱՎՈՐՍ, ՇԻՐԱԿ",14.0,185.0,307.0,179.0,178.0,191.0,63.0,25.0,Երազգավորս,Շիրակ,40.7031503,43.7750216
"ԵՐԱՆՈՍ, ԳԵՂԱՐՔՈՒՆԻՔ",54.0,799.0,929.0,640.0,718.0,407.0,115.0,129.0,Երանոս,Գեղարքունիք,40.2061753,45.1879527
"ԵՐԱՍԽ, ԱՐԱՐԱՏ",8.0,139.0,178.0,100.0,107.0,89.0,18.0,14.0,Երասխ,Արարատ,39.7383492,44.8346993
"ԵՐԱՍԽԱՀՈՒՆ, ԱՐՄԱՎԻՐ",21.0,240.0,305.0,216.0,229.0,167.0,37.0,25.0,Երասխահուն,Արմավիր,40.0743352,44.2166164
"ԵՐՎԱՆԴԱՇԱՏ, ԱՐՄԱՎԻՐ",7.0,133.0,125.0,75.0,118.0,64.0,12.0,15.0,Երվանդաշատ,Արմավիր,40.1176537,43.6713995
"ԶԱՆԳԱԿԱՏՈՒՆ, ԱՐԱՐԱՏ",12.0,169.0,190.0,169.0,169.0,116.0,37.0,56.0,Զանգակատուն,Արարատ,39.8198558,45.0414019
"ԶԱՌԻԹԱՓ, ՎԱՅՈՑ ՁՈՐ",47.0,630.0,654.0,477.0,568.0,440.0,134.0,200.0,Զառիթափ,Վայոց Ձոր,39.6368321,45.5102164
"ԶԱՐԹՈՆՔ, ԱՐՄԱՎԻՐ",10.0,322.0,383.0,263.0,284.0,217.0,64.0,50.0,Զարթոնք,Արմավիր,40.1045485,44.1561788
"ԶԱՐԻՆՋԱ, ԱՐԱԳԱԾՈՏՆ",7.0,85.0,126.0,71.0,111.0,45.0,17.0,12.0,Զարինջա,Արագածոտն,40.4793929,43.7812397
"ԶՈԼԱՔԱՐ, ԳԵՂԱՐՔՈՒՆԻՔ",68.0,979.0,1240.0,780.0,918.0,666.0,191.0,150.0,Զոլաքար,Գեղարքունիք,40.1232884,45.3751965
"ԶՈՎԱԲԵՐ, ԳԵՂԱՐՔՈՒՆԻՔ",22.0,240.0,235.0,199.0,238.0,146.0,47.0,57.0,Զովաբեր,Գեղարքունիք,40.5657456,44.7894489
"ԶՈՎԱՍԱՐ, ԱՐԱԳԱԾՈՏՆ",6.0,80.0,94.0,58.0,91.0,44.0,17.0,21.0,Զովասար,Արագածոտն,40.4764353,43.949406
"ԶՈՐԱԿ, ԱՐԱՐԱՏ",20.0,266.0,317.0,261.0,218.0,218.0,110.0,79.0,Զորակ,Արարատ,40.0911416,44.3907546
"ԷՐԵԲՈՒՆԻ, ԵՐԵՎԱՆ",1167.0,14415.0,20776.0,17625.0,15059.0,16068.0,6485.0,3509.0,Էրեբունի,Երեվան,40.1434254,44.5336231
"ԹԱԹՈՒԼ, ԱՐԱԳԱԾՈՏՆ",9.0,121.0,157.0,123.0,113.0,102.0,29.0,27.0,Թաթուլ,Արագածոտն,40.3865863,43.8152606
"ԹԱԼԻՆ, ԱՐԱԳԱԾՈՏՆ",64.0,832.0,1292.0,971.0,866.0,852.0,263.0,150.0,Թալին,Արագածոտն,40.3822607,43.8782737
"ԹԵՂԵՆԻՔ, ԿՈՏԱՅՔ",2.0,76.0,92.0,70.0,77.0,69.0,19.0,13.0,Թեղենիք,Կոտայք,40.4248287,44.5802464
"ԹԼԻԿ, ԱՐԱԳԱԾՈՏՆ",2.0,18.0,46.0,7.0,21.0,19.0,8.0,3.0,Թլիկ,Արագածոտն,40.4121442,43.6205129
"ԹՈՒՄԱՆՅԱՆ, ԼՈՌԻ",47.0,573.0,801.0,544.0,688.0,562.0,177.0,177.0,Թումանյան,Լոռի,41.000927,44.6544515
"ԻՋԵՎԱՆ, ՏԱՎՈՒՇ",198.0,2225.0,3387.0,2641.0,2203.0,2321.0,783.0,618.0,Իջեվան,Տավուշ,40.8791442,45.1470572
"ԻՐԻՆԴ, ԱՐԱԳԱԾՈՏՆ",10.0,145.0,126.0,112.0,119.0,80.0,31.0,22.0,Իրինդ,Արագածոտն,40.3886193,43.9724711
"ԼԱՆՋԱԶԱՏ, ԱՐԱՐԱՏ",18.0,222.0,335.0,204.0,218.0,200.0,38.0,32.0,Լանջազատ,Արարատ,40.0614972,44.5784971
"ԼԱՆՋԱՂԲՅՈՒՐ, ԳԵՂԱՐՔՈՒՆԻՔ",19.0,330.0,417.0,330.0,305.0,256.0,73.0,60.0,Լանջաղբյուր,Գեղարքունիք,40.2706832,45.135943
"ԼԱՆՋԱՌ, ԱՐԱՐԱՏ",2.0,30.0,29.0,24.0,29.0,17.0,7.0,16.0,Լանջառ,Արարատ,39.8274982,44.9715312
"ԼԵՆՈՒՂԻ, ԱՐՄԱՎԻՐ",20.0,278.0,260.0,245.0,235.0,166.0,61.0,65.0,Լենուղի,Արմավիր,40.1255663,43.9655728
"ԼԵՌՆԱԳՈԳ, ԱՐՄԱՎԻՐ",23.0,250.0,534.0,274.0,257.0,326.0,69.0,25.0,Լեռնագոգ,Արմավիր,40.2401493,43.8714444
"ԼԵՌՆԱԿԵՐՏ, ՇԻՐԱԿ",16.0,279.0,218.0,169.0,225.0,89.0,28.0,34.0,Լեռնակերտ,Շիրակ,40.5627531,43.9338005
"ԼԵՌՆԱՄԵՐՁ, ԱՐՄԱՎԻՐ",2.0,61.0,97.0,71.0,73.0,53.0,13.0,14.0,Լեռնամերձ,Արմավիր,40.2585933,44.2629824
"ԼԵՌՆԱՆԻՍՏ, ԿՈՏԱՅՔ",26.0,413.0,499.0,385.0,398.0,303.0,78.0,66.0,Լեռնանիստ,Կոտայք,40.4670674,44.7899209
"ԼԵՌՆԱՆՑՔ, ԼՈՌԻ",20.0,240.0,220.0,190.0,197.0,125.0,53.0,31.0,Լեռնանցք,Լոռի,40.7951256,44.2750982
"ԼԵՌՆԱՊԱՏ, ԼՈՌԻ",18.0,310.0,310.0,281.0,305.0,157.0,96.0,69.0,Լեռնապատ,Լոռի,40.819558,44.3858713
"ԼԵՌՆԱՎԱՆ, ԼՈՌԻ",11.0,287.0,264.0,172.0,247.0,120.0,44.0,57.0,Լեռնավան,Լոռի,40.7888516,44.1614593
"ԼԵՌՆԱՐՈՏ, ԱՐԱԳԱԾՈՏՆ",8.0,43.0,55.0,48.0,39.0,26.0,18.0,14.0,Լեռնարոտ,Արագածոտն,40.3488025,44.1121961
"ԼԵՐՄՈՆՏՈՎՈ, ԼՈՌԻ",12.0,91.0,127.0,89.0,97.0,70.0,34.0,27.0,Լերմոնտովո,Լոռի,40.7607962,44.6351852
"ԼԻՃՔ, ԳԵՂԱՐՔՈՒՆԻՔ",46.0,720.0,973.0,541.0,628.0,504.0,112.0,99.0,Լիճք,Գեղարքունիք,40.1626876,45.2325796
"ԼՃԱՇԵՆ, ԳԵՂԱՐՔՈՒՆԻՔ",52.0,565.0,651.0,543.0,587.0,418.0,163.0,128.0,Լճաշեն,Գեղարքունիք,40.5166074,44.9369052
"ԼՃԱՎԱՆ, ԳԵՂԱՐՔՈՒՆԻՔ",10.0,112.0,89.0,60.0,80.0,46.0,7.0,22.0,Լճավան,Գեղարքունիք,40.1527656,45.6101
"ԼՃԱՓ, ԳԵՂԱՐՔՈՒՆԻՔ",16.0,184.0,223.0,131.0,163.0,102.0,34.0,29.0,Լճափ,Գեղարքունիք,40.4569225,45.0735108
"ԼՈՌԻ ԲԵՐԴ, ԼՈՌԻ",46.0,761.0,960.0,733.0,720.0,638.0,268.0,209.0,Լոռի Բերդ,Լոռի,41.0140851,44.4123947
"ԼՈՒԿԱՇԻՆ, ԱՐՄԱՎԻՐ",29.0,392.0,459.0,331.0,379.0,261.0,88.0,75.0,Լուկաշին,Արմավիր,40.1851386,44.0033056
"ԼՈՒՍԱԳՅՈՒՂ, ԱՐՄԱՎԻՐ",12.0,149.0,167.0,145.0,129.0,106.0,41.0,27.0,Լուսագյուղ,Արմավիր,40.0863582,44.2710704
"ԼՈՒՍԱԿԵՐՏ, ՇԻՐԱԿ",4.0,123.0,86.0,87.0,108.0,50.0,18.0,25.0,Լուսակերտ,Շիրակ,40.6716363,43.8550388
"ԼՈՒՍԱԿՈՒՆՔ, ԳԵՂԱՐՔՈՒՆԻՔ",13.0,216.0,285.0,155.0,205.0,126.0,52.0,47.0,Լուսակունք,Գեղարքունիք,40.1778386,45.6939263
"ԼՈՒՍԱՀՈՎԻՏ, ՏԱՎՈՒՇ",3.0,52.0,52.0,31.0,58.0,35.0,9.0,21.0,Լուսահովիտ,Տավուշ,40.9159678,45.1896851
"ԼՈՒՍԱՁՈՐ, ՏԱՎՈՒՇ",5.0,103.0,106.0,95.0,105.0,68.0,25.0,23.0,Լուսաձոր,Տավուշ,40.9370589,45.1512901
"ԼՈՒՍԱՇՈՂ, ԱՐԱՐԱՏ",7.0,101.0,87.0,56.0,79.0,47.0,11.0,22.0,Լուսաշող,Արարատ,39.8529692,44.9766939
"ԼՈՒՍԱՌԱՏ, ԱՐԱՐԱՏ",28.0,330.0,453.0,365.0,356.0,276.0,85.0,82.0,Լուսառատ,Արարատ,39.872384,44.5906691
"ԽԱՆՋՅԱՆ, ԱՐՄԱՎԻՐ",23.0,377.0,307.0,289.0,318.0,173.0,55.0,41.0,Խանջյան,Արմավիր,40.1874031,43.9771627
"ԽԱՇԹԱՌԱԿ, ՏԱՎՈՒՇ",15.0,243.0,317.0,206.0,275.0,197.0,78.0,118.0,Խաշթառակ,Տավուշ,40.9370022,45.1804861
"ԽԱՉԱՂԲՅՈՒՐ, ԳԵՂԱՐՔՈՒՆԻՔ",10.0,225.0,196.0,166.0,160.0,106.0,39.0,34.0,Խաչաղբյուր,Գեղարքունիք,40.1675531,45.693764
"ԽԱՉՓԱՐ, ԱՐԱՐԱՏ",20.0,236.0,335.0,233.0,291.0,256.0,104.0,109.0,Խաչփառ,Արարատ,40.1220135,44.4007482
"ԽՆԿՈՅԱՆ, ԼՈՌԻ",1.0,60.0,44.0,33.0,51.0,22.0,6.0,18.0,Խնկոյան,Լոռի,40.8371669,44.0254872
"ԽՈՐՈՆՔ, ԱՐՄԱՎԻՐ",29.0,369.0,507.0,315.0,383.0,317.0,80.0,50.0,Խորոնք,Արմավիր,40.1361855,44.2441818
"ԾԱԿՔԱՐ, ԳԵՂԱՐՔՈՒՆԻՔ",22.0,410.0,554.0,298.0,350.0,216.0,69.0,81.0,Ծակքար,Գեղարքունիք,40.180357,45.2243672
"ԾԱՂԿԱԲԵՐ, ԼՈՌԻ",10.0,217.0,238.0,129.0,209.0,105.0,29.0,46.0,Ծաղկաբեր,Լոռի,40.8013178,44.1003659
"ԾԱՂԿԱԼԱՆՋ, ԱՐՄԱՎԻՐ",12.0,196.0,276.0,197.0,232.0,145.0,40.0,47.0,Ծաղկալանջ,Արմավիր,40.1977715,44.2300731
"ԾԱՂԿԱՀՈՎԻՏ, ԱՐԱԳԱԾՈՏՆ",104.0,1596.0,1843.0,1268.0,1444.0,975.0,258.0,255.0,Ծաղկահովիտ,Արագածոտն,40.6392116,44.2226852
"ԾԱՂԿԱՁՈՐ, ԿՈՏԱՅՔ",15.0,184.0,240.0,228.0,193.0,220.0,69.0,40.0,Ծաղկաձոր,Կոտայք,40.5317434,44.7159759
"ԾԱՂԿԱՇԵՆ, ԳԵՂԱՐՔՈՒՆԻՔ",1.0,81.0,102.0,62.0,70.0,45.0,16.0,10.0,Ծաղկաշեն,Գեղարքունիք,40.5031528,44.355093700000005
"ԾԱՂԿԱՍԱՐ, ԱՐԱԳԱԾՈՏՆ",3.0,14.0,10.0,10.0,18.0,5.0,1.0,7.0,Ծաղկասար,Արագածոտն,40.4713371,43.9048852
"ԾԱՂԿԱՎԱՆ, ՏԱՎՈՒՇ",11.0,67.0,126.0,71.0,77.0,67.0,25.0,27.0,Ծաղկավան,Տավուշ,41.0284329,45.1212391
"ԾԱՂԿՈՒՆՔ, ԱՐՄԱՎԻՐ",16.0,182.0,231.0,175.0,181.0,180.0,49.0,32.0,Ծաղկունք,Արմավիր,40.1774628,44.2669524
"ԾԱՂԿՈՒՆՔ, ԳԵՂԱՐՔՈՒՆԻՔ",15.0,145.0,179.0,127.0,145.0,103.0,41.0,33.0,Ծաղկունք,Գեղարքունիք,40.5764773,44.8700417
"ԾԻԱԾԱՆ, ԱՐՄԱՎԻՐ",17.0,203.0,191.0,144.0,186.0,127.0,30.0,36.0,Ծիածան,Արմավիր,40.1852285,44.2668203
"ԾՈՎԱԳՅՈՒՂ, ԳԵՂԱՐՔՈՒՆԻՔ",53.0,630.0,641.0,566.0,577.0,382.0,129.0,116.0,Ծովագյուղ,Գեղարքունիք,40.6310675,44.9630987
