"ՀԱՄԱՅՆՔ,ՄԱՐԶ","(17, 19]","(19, 29]","(29, 39]","(39, 49]","(49, 59]","(59, 69]","(69, 79]","(79, 120]",ՀԱՄԱՅՆՔ,ՄԱՐԶ,lat,lon
"ԾՈՎԱԶԱՐԴ, ԳԵՂԱՐՔՈՒՆԻՔ",22.0,272.0,420.0,248.0,304.0,250.0,67.0,66.0,Ծովազարդ,Գեղարքունիք,40.4776836,45.0525325
"ԾՈՎԱԿ, ԳԵՂԱՐՔՈՒՆԻՔ",23.0,435.0,460.0,311.0,379.0,234.0,73.0,96.0,Ծովակ,Գեղարքունիք,40.1808565,45.6365787
"ԾՈՎԱՍԱՐ, ԳԵՂԱՐՔՈՒՆԻՔ",23.0,490.0,458.0,348.0,376.0,180.0,70.0,55.0,Ծովասար,Գեղարքունիք,40.1367469,45.1876561
"ԾՈՎԻՆԱՐ, ԳԵՂԱՐՔՈՒՆԻՔ",44.0,626.0,794.0,555.0,683.0,423.0,149.0,174.0,Ծովինար,Գեղարքունիք,40.1587936,45.4693737
"ԿԱԹՆԱՂԲՅՈՒՐ, ԱՐԱԳԱԾՈՏՆ",9.0,211.0,240.0,183.0,202.0,155.0,44.0,46.0,Կաթնաղբյուր,Արագածոտն,40.3799459,43.9383172
"ԿԱԹՆԱՂԲՅՈՒՐ, ԿՈՏԱՅՔ",4.0,90.0,106.0,80.0,89.0,80.0,15.0,15.0,Կաթնաղբյուր,Կոտայք,40.2553916,44.6722125
"ԿԱԹՆԱՋՈՒՐ, ԼՈՌԻ",18.0,271.0,326.0,203.0,272.0,189.0,41.0,65.0,Կաթնաջուր,Լոռի,40.8226988,44.1422832
"ԿԱՄԱՐԻՍ, ԿՈՏԱՅՔ",18.0,315.0,409.0,317.0,335.0,228.0,73.0,40.0,Կամարիս,Կոտայք,40.2367283,44.6917527
"ԿԱՆԱՉՈՒՏ, ԱՐԱՐԱՏ",7.0,165.0,240.0,173.0,172.0,182.0,46.0,44.0,Կանաչուտ,Արարատ,40.0100972,44.5452051
"ԿԱՆՉ, ԱՐԱԳԱԾՈՏՆ",4.0,24.0,29.0,30.0,27.0,22.0,6.0,3.0,Կանչ,Արագածոտն,40.3827585,43.728881
"ԿԱՊԱՆ, ՍՅՈՒՆԻՔ",436.0,4876.0,7954.0,6033.0,5637.0,6016.0,2177.0,1689.0,Կապան,Սյունիք,39.2077209,46.4067952
"ԿԱՐԲԻ, ԱՐԱԳԱԾՈՏՆ",44.0,606.0,797.0,525.0,584.0,429.0,144.0,106.0,Կարբի,Արագածոտն,40.3278465,44.3717602
"ԿԱՐՃԱՂԲՅՈՒՐ, ԳԵՂԱՐՔՈՒՆԻՔ",31.0,388.0,368.0,293.0,330.0,187.0,79.0,72.0,Կարճաղբյուր,Գեղարքունիք,40.1735132,45.5843034
"ԿԱՐՄԻՐԳՅՈՒՂ, ԳԵՂԱՐՔՈՒՆԻՔ",53.0,695.0,1086.0,863.0,726.0,679.0,248.0,182.0,Կարմիրգյուղ,Գեղարքունիք,40.3274441,45.1465892
"ԿԱՐՄՐԱՇԵՆ, ԱՐԱԳԱԾՈՏՆ",2.0,103.0,95.0,71.0,108.0,61.0,19.0,20.0,Կարմրաշեն,Արագածոտն,40.4298064,43.9381026
"ԿԱՔԱՎԱՁՈՐ, ԱՐԱԳԱԾՈՏՆ",11.0,190.0,158.0,144.0,160.0,76.0,30.0,29.0,Կաքավաձոր,Արագածոտն,40.3507407,44.0519222
"ԿԵՆՏՐՈՆ, ԵՐԵՎԱՆ",1154.0,13075.0,18567.0,16910.0,15521.0,16346.0,8945.0,5691.0,Կենտրոն,Երեվան,40.1784684,44.5055716
"ԿԻՐԱՆՑ, ՏԱՎՈՒՇ",7.0,56.0,74.0,45.0,57.0,31.0,9.0,14.0,Կիրանց,Տավուշ,41.0476632,45.0984533
"ԿՈՂԲ, ՏԱՎՈՒՇ",69.0,774.0,994.0,778.0,753.0,701.0,306.0,310.0,Կողբ,Տավուշ,41.1876745,44.9786449
"ԿՈՂԲԱՎԱՆ, ԱՐՄԱՎԻՐ",1.0,22.0,30.0,15.0,32.0,10.0,0.0,1.0,Կողբավան,Արմավիր,40.1420368,43.7553689
"ԿՈՇ, ԱՐԱԳԱԾՈՏՆ",25.0,452.0,536.0,398.0,444.0,299.0,89.0,70.0,Կոշ,Արագածոտն,40.3001335,44.1524168
"ՀԱԼԱՎԱՐ, ԼՈՌԻ",0.0,16.0,18.0,12.0,23.0,25.0,16.0,15.0,Հալավար,Լոռի,40.7892252,44.4046228
"ՀԱԿՈ, ԱՐԱԳԱԾՈՏՆ",2.0,30.0,25.0,34.0,30.0,22.0,3.0,4.0,Հակո,Արագածոտն,40.3847922,43.6921312
"ՀԱՅԱՆԻՍՏ, ԱՐԱՐԱՏ",13.0,326.0,441.0,367.0,294.0,330.0,137.0,132.0,Հայանիստ,Արարատ,40.121789,44.3694867
"ՀԱՅԹԱՂ, ԱՐՄԱՎԻՐ",22.0,361.0,574.0,295.0,458.0,351.0,79.0,85.0,Հայթաղ,Արմավիր,40.1784544,44.2278026
"ՀԱՅԿԱՇԵՆ, ԱՐՄԱՎԻՐ",9.0,199.0,223.0,169.0,197.0,144.0,47.0,24.0,Հայկաշեն,Արմավիր,40.0725348,44.3051313
"ՀԱՅԿԱՍԱՐ, ՇԻՐԱԿ",1.0,31.0,44.0,17.0,25.0,23.0,1.0,8.0,Հայկասար,Շիրակ,40.6043151,43.8883983
"ՀԱՅԿԱՎԱՆ, ԱՐՄԱՎԻՐ",9.0,173.0,280.0,190.0,168.0,197.0,51.0,33.0,Հայկավան,Արմավիր,40.0908597,44.0368778
"ՀԱՅԿԱՎԱՆ, ՇԻՐԱԿ",14.0,186.0,206.0,151.0,183.0,153.0,39.0,43.0,Հայկավան,Շիրակ,40.8037432,43.7494435
"ՀԱՅՐԱՎԱՆՔ, ԳԵՂԱՐՔՈՒՆԻՔ",9.0,94.0,158.0,96.0,113.0,87.0,24.0,18.0,Հայրավանք,Գեղարքունիք,40.430987,45.0944581
"ՀԱՅՐԵՆՅԱՑ, ՇԻՐԱԿ",9.0,113.0,145.0,101.0,101.0,66.0,19.0,17.0,Հայրենյաց,Շիրակ,40.6301463,43.8719319
"ՀԱՌԻՃ, ՇԻՐԱԿ",8.0,169.0,211.0,125.0,155.0,124.0,33.0,39.0,Հառիճ,Շիրակ,40.6096173,44.0015399
"ՀԱՐԹԱԳՅՈՒՂ, ԼՈՌԻ",7.0,205.0,194.0,121.0,209.0,98.0,16.0,35.0,Հարթագյուղ,Լոռի,40.8321662,44.0467798
"ՀԱՑԱՇԵՆ, ԱՐԱԳԱԾՈՏՆ",5.0,51.0,62.0,47.0,48.0,24.0,7.0,5.0,Հացաշեն,Արագածոտն,40.4300357,43.7747366
"ՀԱՑԱՎԱՆ, ԿՈՏԱՅՔ",3.0,100.0,114.0,47.0,111.0,72.0,8.0,18.0,Հացավան,Կոտայք,40.1371039,44.6486505
"ՀԱՑԻԿ, ԱՐՄԱՎԻՐ",35.0,419.0,393.0,320.0,409.0,262.0,70.0,102.0,Հացիկ,Արմավիր,40.1729962,43.9496574
"ՀՆԱԲԵՐԴ, ԱՐԱՐԱՏ",7.0,92.0,141.0,91.0,110.0,87.0,20.0,16.0,Հնաբերդ,Արարատ,40.0055482,44.5709538
"ՀՈՌՈՄ, ՇԻՐԱԿ",12.0,319.0,374.0,202.0,334.0,222.0,43.0,70.0,Հոռոմ,Շիրակ,40.660321,43.8869814
"ՀՈՎՏԱՄԵՋ, ԱՐՄԱՎԻՐ",20.0,157.0,212.0,147.0,190.0,141.0,30.0,39.0,Հովտամեջ,Արմավիր,40.1825437,44.2538203
"ՀՈՎՏԱՇԱՏ, ԱՐԱՐԱՏ",45.0,554.0,787.0,551.0,571.0,465.0,125.0,89.0,Հովտաշատ,Արարատ,40.1010182,44.3385348
"ՀՈՎՏԱՇԵՆ, ԱՐԱՐԱՏ",6.0,179.0,220.0,128.0,214.0,113.0,36.0,39.0,Հովտաշեն,Արարատ,40.0231199,44.4481838
"ՀՈՎՏԱՇԵՆ, ՇԻՐԱԿ",3.0,42.0,74.0,26.0,65.0,35.0,5.0,9.0,Հովտաշեն,Շիրակ,40.6683999,43.8886964
"ՀՈՒՇԱԿԵՐՏ, ԱՐՄԱՎԻՐ",7.0,170.0,164.0,136.0,159.0,81.0,34.0,26.0,Հուշակերտ,Արմավիր,40.0840594,43.9301067
"ՀՐԱԶԴԱՆ, ԿՈՏԱՅՔ",553.0,6282.0,10848.0,8183.0,7116.0,7569.0,2376.0,1400.0,Հրազդան,Կոտայք,40.5353559,44.7695698
"ՁՈՐԱԳԵՏ, ԼՈՌԻ",0.0,32.0,32.0,35.0,42.0,26.0,10.0,16.0,Ձորագետ,Լոռի,40.9455878,44.6296665
"ՁՈՐԱԳՅՈՒՂ, ԳԵՂԱՐՔՈՒՆԻՔ",47.0,752.0,824.0,509.0,632.0,374.0,112.0,112.0,Ձորագյուղ,Գեղարքունիք,40.1697725,45.1858234
"ՁՈՐԱԳՅՈՒՂ, ԼՈՌԻ",5.0,34.0,45.0,45.0,56.0,35.0,19.0,21.0,Ձորագյուղ,Լոռի,40.9481634,44.617698
"ՂԱԶԱՐԱՎԱՆ, ԱՐԱԳԱԾՈՏՆ",5.0,71.0,94.0,66.0,83.0,57.0,16.0,16.0,Ղազարավան,Արագածոտն,40.3403625,44.3192141
"ՂԱՐԻԲՋԱՆՅԱՆ, ՇԻՐԱԿ",5.0,133.0,202.0,99.0,142.0,125.0,30.0,12.0,Ղարիբջանյան,Շիրակ,40.7351896,43.786649
"ՂՈՒԿԱՍԱՎԱՆ, ԱՐԱՐԱՏ",17.0,350.0,361.0,288.0,330.0,217.0,66.0,50.0,Ղուկասավան,Արարատ,40.1246893,44.4163451
"ՂՈՒՐՍԱԼԻ, ԼՈՌԻ",3.0,66.0,80.0,68.0,70.0,55.0,26.0,15.0,Ղուրսալի,Լոռի,40.8299258,44.3349973
"ՃԱՄԲԱՐԱԿ, ԳԵՂԱՐՔՈՒՆԻՔ",109.0,1719.0,2024.0,1474.0,1461.0,1378.0,429.0,451.0,Ճամբարակ,Գեղարքունիք,40.5990983,45.3529401
"ՄԱԴԻՆԱ, ԳԵՂԱՐՔՈՒՆԻՔ",16.0,214.0,160.0,132.0,137.0,92.0,36.0,32.0,Մադինա,Գեղարքունիք,40.0775383,45.255077
"ՄԱԼԱԹԻԱ-ՍԵԲԱՍՏԻԱ, ԵՐԵՎԱՆ",1379.0,16620.0,25045.0,21884.0,15669.0,18506.0,7682.0,3684.0,Մալաթիա-Սեբաստիա,Երեվան,40.1797179,44.4442373
"ՄԱԼԻՇԿԱ, ՎԱՅՈՑ ՁՈՐ",53.0,601.0,860.0,662.0,628.0,581.0,171.0,180.0,Մալիշկա,Վայոց Ձոր,39.7376099,45.3925813
"ՄԱՅԱԿՈՎՍԿԻ, ԿՈՏԱՅՔ",21.0,270.0,379.0,295.0,298.0,264.0,86.0,60.0,Մայակովսկի,Կոտայք,40.2442315,44.6342209
"ՄԱՅԻՍՅԱՆ, ԱՐՄԱՎԻՐ",25.0,308.0,330.0,250.0,296.0,183.0,59.0,51.0,Մայիսյան,Արմավիր,40.1568681,44.0884244
"ՄԱՍԻՍ, ԱՐԱՐԱՏ",223.0,2626.0,4116.0,3114.0,2517.0,2935.0,889.0,521.0,Մասիս,Արարատ,39.9965321,44.4892913
"ՄԱՍՏԱՐԱ, ԱՐԱԳԱԾՈՏՆ",23.0,391.0,495.0,312.0,396.0,270.0,73.0,93.0,Մաստարա,Արագածոտն,40.4651151,43.9025474
"ՄԱՐԳԱՀՈՎԻՏ, ԼՈՌԻ",24.0,444.0,664.0,445.0,490.0,446.0,126.0,104.0,Մարգահովիտ,Լոռի,40.7348487,44.6829567
"ՄԱՐԳԱՐԱ, ԱՐՄԱՎԻՐ",11.0,192.0,230.0,164.0,191.0,163.0,56.0,39.0,Մարգարա,Արմավիր,40.03553,44.1783042
"ՄԱՐՄԱՇԵՆ, ՇԻՐԱԿ",92.0,1671.0,2075.0,1321.0,1740.0,1224.0,359.0,347.0,Մարմաշեն,Շիրակ,40.8366239,43.7792408
"ՄԱՐՄԱՐԱՇԵՆ, ԱՐԱՐԱՏ",39.0,559.0,604.0,437.0,526.0,340.0,94.0,86.0,Մարմարաշեն,Արարատ,40.0583267,44.4692581
"ՄԱՐՏՈՒՆԻ, ԳԵՂԱՐՔՈՒՆԻՔ",126.0,1796.0,2535.0,1782.0,1649.0,1579.0,536.0,353.0,Մարտունի,Գեղարքունիք,40.66714,45.25422
"ՄԱՔԵՆԻՍ, ԳԵՂԱՐՔՈՒՆԻՔ",5.0,79.0,60.0,67.0,73.0,32.0,12.0,16.0,Մաքենիս,Գեղարքունիք,40.121884,45.6174877
"ՄԵԼԻՔԳՅՈՒՂ, ԱՐԱԳԱԾՈՏՆ",15.0,169.0,174.0,140.0,159.0,92.0,32.0,27.0,Մելիքգյուղ,Արագածոտն,40.6651044,44.3510961
"ՄԵԾ ՄԱՆԹԱՇ, ՇԻՐԱԿ",18.0,355.0,406.0,230.0,342.0,211.0,66.0,62.0,Մեծ Մանթաշ,Շիրակ,40.644164,44.0613928
"ՄԵԾ ՄԱՍՐԻԿ, ԳԵՂԱՐՔՈՒՆԻՔ",21.0,395.0,467.0,320.0,353.0,261.0,72.0,89.0,Մեծ Մասրիկ,Գեղարքունիք,40.2210081,45.7625002
"ՄԵԾ ՊԱՐՆԻ, ԼՈՌԻ",16.0,342.0,380.0,235.0,310.0,201.0,46.0,75.0,Մեծ Պարնի,Լոռի,40.8328514,44.1103116
"ՄԵԾԱՁՈՐ, ԱՐԱԳԱԾՈՏՆ",3.0,20.0,34.0,32.0,25.0,14.0,3.0,3.0,Մեծաձոր,Արագածոտն,40.3804152,44.0460409
"ՄԵԾԱՄՈՐ, ԱՐՄԱՎԻՐ",130.0,1309.0,2258.0,2040.0,1128.0,1915.0,514.0,168.0,Մեծամոր,Արմավիր,40.071389,44.289167
"ՄԵԾԱՎԱՆ, ԼՈՌԻ",58.0,856.0,1295.0,858.0,880.0,703.0,218.0,278.0,Մեծավան,Լոռի,41.2053857,44.2309162
"ՄԵՂՐԱՁՈՐ, ԿՈՏԱՅՔ",42.0,864.0,969.0,708.0,823.0,532.0,168.0,212.0,Մեղրաձոր,Կոտայք,40.6025326,44.6063054
"ՄԵՂՐԱՇԵՆ, ՇԻՐԱԿ",8.0,225.0,220.0,130.0,209.0,120.0,29.0,21.0,Մեղրաշեն,Շիրակ,40.6690083,43.9553461
"ՄԵՂՐԻ, ՍՅՈՒՆԻՔ",119.0,1457.0,1941.0,1458.0,1462.0,1455.0,536.0,480.0,Մեղրի,Սյունիք,38.9016976,46.2467317
"ՄԵՐՁԱՎԱՆ, ԱՐՄԱՎԻՐ",49.0,525.0,640.0,526.0,526.0,411.0,136.0,103.0,Մերձավան,Արմավիր,40.1837106,44.4025158
"ՄԽՉՅԱՆ, ԱՐԱՐԱՏ",56.0,667.0,912.0,607.0,667.0,595.0,188.0,144.0,Մխչյան,Արարատ,40.0225895,44.4904856
"ՄՅԱՍՆԻԿՅԱՆ, ԱՐՄԱՎԻՐ",43.0,684.0,677.0,560.0,624.0,401.0,130.0,117.0,Մյասնիկյան,Արմավիր,40.1814881,43.9146893
"ՄՈՒՍԱԼԵՌ, ԱՐՄԱՎԻՐ",21.0,366.0,559.0,374.0,427.0,390.0,115.0,72.0,Մուսալեռ,Արմավիր,40.1578309,44.3793997
"ՄՐԳԱՆՈՒՇ, ԱՐԱՐԱՏ",7.0,137.0,244.0,141.0,162.0,161.0,34.0,34.0,Մրգանուշ,Արարատ,40.025532,44.5593439
"ՄՐԳԱՇԱՏ, ԱՐՄԱՎԻՐ",47.0,830.0,971.0,705.0,770.0,635.0,177.0,170.0,Մրգաշատ,Արմավիր,40.1241657,44.0672171
"ՄՐԳԱՇԵՆ, ԿՈՏԱՅՔ",17.0,315.0,437.0,263.0,297.0,174.0,66.0,53.0,Մրգաշեն,Կոտայք,40.2850294,44.5397372
"ՄՐԳԱՍՏԱՆ, ԱՐՄԱՎԻՐ",12.0,150.0,189.0,147.0,205.0,108.0,45.0,51.0,Մրգաստան,Արմավիր,40.2007545,44.2770015
"ՄՐԳԱՎԱՆ, ԱՐԱՐԱՏ",28.0,257.0,272.0,274.0,264.0,251.0,86.0,74.0,Մրգավան,Արարատ,39.9716709,44.5352163
"ՄՐԳԱՎԵՏ, ԱՐԱՐԱՏ",21.0,330.0,492.0,304.0,291.0,320.0,86.0,60.0,Մրգավետ,Արարատ,40.0327699,44.4799671
"ՆԱԼԲԱՆԴՅԱՆ, ԱՐՄԱՎԻՐ",49.0,644.0,721.0,589.0,606.0,467.0,122.0,100.0,Նալբանդյան,Արմավիր,40.06165,43.9852874
"ՆԱՀԱՊԵՏԱՎԱՆ, ՇԻՐԱԿ",11.0,128.0,137.0,95.0,130.0,74.0,24.0,17.0,Նահապետավան,Շիրակ,40.6072274,44.0200336
"ՆԱՐԵԿ, ԱՐԱՐԱՏ",9.0,131.0,310.0,120.0,132.0,193.0,19.0,2.0,Նարեկ,Արարատ,40.0004118,44.6648243
"ՆԵՐՔԻՆ ԲԱԶՄԱԲԵՐԴ, ԱՐԱԳԱԾՈՏՆ",13.0,228.0,248.0,182.0,240.0,153.0,61.0,51.0,Ներքին Բազմաբերդ,Արագածոտն,40.3347638,44.0103798
"ՆԵՐՔԻՆ ԳԵՏԱՇԵՆ, ԳԵՂԱՐՔՈՒՆԻՔ",113.0,1377.0,1622.0,1057.0,1124.0,792.0,235.0,167.0,Ներքին Գետաշեն,Գեղարքունիք,40.1442308,45.2711048
"ՆԵՐՔԻՆ ՍԱՍՆԱՇԵՆ, ԱՐԱԳԱԾՈՏՆ",6.0,165.0,192.0,120.0,159.0,115.0,34.0,32.0,Ներքին Սասնաշեն,Արագածոտն,40.3552211,43.9915853
"ՆԻԶԱՄԻ, ԱՐԱՐԱՏ",10.0,158.0,216.0,147.0,171.0,143.0,71.0,79.0,Նիզամի,Արարատ,40.0912332,44.4037713
"ՆՇԱՎԱՆ, ԱՐԱՐԱՏ",8.0,265.0,416.0,210.0,296.0,267.0,54.0,52.0,Նշավան,Արարատ,40.0253443,44.5242498
"ՆՈՅԱԿԵՐՏ, ԱՐԱՐԱՏ",31.0,295.0,334.0,263.0,290.0,189.0,89.0,75.0,Նոյակերտ,Արարատ,39.8319349,44.6635181
"ՆՈՅԵՄԲԵՐՅԱՆ, ՏԱՎՈՒՇ",159.0,2238.0,2734.0,2340.0,2104.0,2028.0,772.0,844.0,Նոյեմբերյան,Տավուշ,41.1718057,44.9946631
"ՆՈՐ ԱՄԱՆՈՍ, ԱՐԱԳԱԾՈՏՆ",8.0,89.0,169.0,85.0,96.0,116.0,12.0,6.0,Նոր Ամանոս,Արագածոտն,40.2373557,44.0674247
"ՆՈՐ ԱՐԹԻԿ, ԱՐԱԳԱԾՈՏՆ",6.0,90.0,83.0,66.0,85.0,56.0,13.0,16.0,Նոր Արթիկ,Արագածոտն,40.4653087,43.7054876
"ՆՈՐ ԱՐՄԱՎԻՐ, ԱՐՄԱՎԻՐ",24.0,258.0,363.0,251.0,273.0,209.0,79.0,48.0,Նոր Արմավիր,Արմավիր,40.0924814,43.9897827
"ՆՈՐ ԱՐՏԱԳԵՐՍ, ԱՐՄԱՎԻՐ",19.0,178.0,307.0,207.0,251.0,192.0,56.0,52.0,Նոր Արտագերս,Արմավիր,40.0721478,44.0058637
"ՆՈՐ ԱՐՏԱՄԵՏ, ԿՈՏԱՅՔ",11.0,149.0,202.0,147.0,148.0,144.0,50.0,56.0,Նոր Արտամետ,Կոտայք,40.3006078,44.5578863
"ՆՈՐ ԳԵՂԻ, ԿՈՏԱՅՔ",79.0,855.0,1214.0,845.0,837.0,743.0,213.0,111.0,Նոր Գեղի,Կոտայք,40.3187714,44.5760235
"ՆՈՐ ԵԴԵՍԻԱ, ԱՐԱԳԱԾՈՏՆ",5.0,137.0,311.0,109.0,179.0,156.0,14.0,10.0,Նոր Եդեսիա,Արագածոտն,40.225164,44.1329692
"ՆՈՐ ԵՐԶՆԿԱ, ԿՈՏԱՅՔ",21.0,242.0,321.0,277.0,233.0,175.0,81.0,46.0,Նոր Երզնկա,Կոտայք,40.3034691,44.3930377
"ՆՈՐ ԽԱՉԱԿԱՊ, ԼՈՌԻ",8.0,87.0,89.0,81.0,88.0,68.0,29.0,24.0,Նոր Խաչակապ,Լոռի,40.8403602,44.3643942
"ՆՈՐ ԽԱՐԲԵՐԴ, ԱՐԱՐԱՏ",93.0,1149.0,1497.0,1065.0,1127.0,965.0,299.0,216.0,Նոր Խարբերդ,Արարատ,40.0891602,44.4792997
"ՆՈՐ ԿԵՍԱՐԻԱ, ԱՐՄԱՎԻՐ",21.0,246.0,269.0,239.0,207.0,137.0,55.0,30.0,Նոր Կեսարիա,Արմավիր,40.058127,43.9073244
"ՆՈՐ ԿՅԱՆՔ, ԱՐԱՐԱՏ",14.0,385.0,473.0,307.0,394.0,290.0,88.0,52.0,Նոր Կյանք,Արարատ,39.9003116,44.6320994
"ՆՈՐ ԿՅԱՆՔ, ՇԻՐԱԿ",7.0,287.0,249.0,179.0,236.0,147.0,43.0,38.0,Նոր Կյանք,Շիրակ,40.656322,43.925711
"ՆՈՐ ԿՅՈՒՐԻՆ, ԱՐԱՐԱՏ",8.0,140.0,242.0,121.0,160.0,143.0,27.0,23.0,Նոր Կյուրին,Արարատ,40.0738807,44.4976986
"ՆՈՐ ՀԱՃՆ, ԿՈՏԱՅՔ",115.0,1324.0,2252.0,1668.0,1283.0,1552.0,465.0,242.0,Նոր Հաճն,Կոտայք,40.3007262,44.5814295
"ՆՈՐ ՆՈՐՔ, ԵՐԵՎԱՆ",1228.0,15557.0,21336.0,18934.0,17167.0,14925.0,7632.0,4827.0,Նոր Նորք,Երեվան,40.2002199,44.5667018
"ՆՈՐ ՈՒՂԻ, ԱՐԱՐԱՏ",5.0,131.0,147.0,129.0,124.0,97.0,23.0,23.0,Նոր Ուղի,Արարատ,39.9260479,44.636534499999996
"ՆՈՐԱԲԱՑ, ԱՐԱՐԱՏ",29.0,315.0,466.0,315.0,356.0,285.0,69.0,72.0,Նորաբաց,Արարատ,40.1068238,44.4322092
"ՆՈՐԱԿԵՐՏ, ԱՐՄԱՎԻՐ",29.0,409.0,618.0,426.0,420.0,361.0,87.0,72.0,Նորակերտ,Արմավիր,40.1944047,44.343921
"ՆՈՐԱԿԵՐՏ, ԳԵՂԱՐՔՈՒՆԻՔ",5.0,151.0,151.0,95.0,154.0,50.0,15.0,42.0,Նորակերտ,Գեղարքունիք,40.2633662,45.6934048
"ՆՈՐԱՄԱՐԳ, ԱՐԱՐԱՏ",21.0,265.0,415.0,294.0,250.0,247.0,83.0,61.0,Նորամարգ,Արարատ,40.0196006,44.4229372
"ՆՈՐԱՇԵՆ, ԱՐԱՐԱՏ",24.0,487.0,676.0,445.0,466.0,457.0,119.0,95.0,Նորաշեն,Արարատ,40.0030835,44.598259999999996
"ՆՈՐԱՇԵՆ, ԳԵՂԱՐՔՈՒՆԻՔ",5.0,64.0,81.0,57.0,71.0,44.0,10.0,11.0,Նորաշեն,Գեղարքունիք,40.5046709,45.0185823
"ՆՈՐԱՊԱՏ, ԱՐՄԱՎԻՐ",21.0,294.0,403.0,335.0,310.0,291.0,108.0,67.0,Նորապատ,Արմավիր,40.1417387,44.0303535
"ՆՈՐԱՎԱՆ, ԱՐՄԱՎԻՐ",8.0,190.0,226.0,146.0,185.0,153.0,38.0,35.0,Նորավան,Արմավիր,40.1724626,44.0253497
"ՆՈՐԱՏՈՒՍ, ԳԵՂԱՐՔՈՒՆԻՔ",63.0,868.0,1060.0,853.0,814.0,667.0,206.0,182.0,Նորատուս,Գեղարքունիք,40.3765049,45.1729587
"ՆՈՐՔ-ՄԱՐԱՇ, ԵՐԵՎԱՆ",102.0,1668.0,2528.0,1808.0,1738.0,1911.0,727.0,510.0,Նորք-Մարաշ,Երեվան,40.1800138,44.5436648
"ՆՈՒԲԱՐԱՇԵՆ, ԵՐԵՎԱՆ",128.0,1345.0,1912.0,1735.0,1186.0,1429.0,478.0,249.0,Նուբարաշեն,Երեվան,40.0921243,44.5523035
"ՇԱՀՈՒՄՅԱՆ, ԱՐԱՐԱՏ",37.0,578.0,808.0,533.0,587.0,557.0,148.0,133.0,Շահումյան,Արարատ,39.9392484,44.5616734
"ՇԱՀՈՒՄՅԱՆ, ԱՐՄԱՎԻՐ",13.0,184.0,243.0,155.0,183.0,159.0,47.0,40.0,Շահումյան,Արմավիր,40.2116209,44.2936028
"ՇԱՀՈՒՄՅԱՆ, ԼՈՌԻ",30.0,295.0,371.0,381.0,288.0,334.0,111.0,82.0,Շահումյան,Լոռի,40.7708052,44.5352698
